연령별,시점,암검진별,성별,대상인원,수검인원,연령대
20 ~ 24세,2016,위암,남자,0,0,20대
20 ~ 24세,2016,위암,여자,0,0,20대
20 ~ 24세,2016,대장암,남자,0,0,20대
20 ~ 24세,2016,대장암,여자,0,0,20대
20 ~ 24세,2016,간암,남자,0,0,20대
20 ~ 24세,2016,간암,여자,0,0,20대
20 ~ 24세,2016,유방암,남자,0,0,20대
20 ~ 24세,2016,유방암,여자,0,0,20대
20 ~ 24세,2016,자궁경부암,남자,0,0,20대
20 ~ 24세,2016,자궁경부암,여자,736010,138829,20대
20 ~ 24세,2017,위암,남자,0,0,20대
20 ~ 24세,2017,위암,여자,0,0,20대
20 ~ 24세,2017,대장암,남자,0,0,20대
20 ~ 24세,2017,대장암,여자,0,0,20대
20 ~ 24세,2017,간암,남자,0,0,20대
20 ~ 24세,2017,간암,여자,0,0,20대
20 ~ 24세,2017,유방암,남자,0,0,20대
20 ~ 24세,2017,유방암,여자,0,0,20대
20 ~ 24세,2017,자궁경부암,남자,0,0,20대
20 ~ 24세,2017,자궁경부암,여자,746162,166205,20대
20 ~ 24세,2018,위암,남자,0,0,20대
20 ~ 24세,2018,위암,여자,0,0,20대
20 ~ 24세,2018,대장암,남자,0,0,20대
20 ~ 24세,2018,대장암,여자,0,0,20대
20 ~ 24세,2018,간암,남자,0,0,20대
20 ~ 24세,2018,간암,여자,0,0,20대
20 ~ 24세,2018,유방암,남자,0,0,20대
20 ~ 24세,2018,유방암,여자,0,0,20대
20 ~ 24세,2018,자궁경부암,남자,0,0,20대
20 ~ 24세,2018,자궁경부암,여자,677586,170449,20대
20 ~ 24세,2019,위암,남자,0,0,20대
20 ~ 24세,2019,위암,여자,0,0,20대
20 ~ 24세,2019,대장암,남자,0,0,20대
20 ~ 24세,2019,대장암,여자,0,0,20대
20 ~ 24세,2019,간암,남자,0,0,20대
20 ~ 24세,2019,간암,여자,0,0,20대
20 ~ 24세,2019,유방암,남자,0,0,20대
20 ~ 24세,2019,유방암,여자,0,0,20대
20 ~ 24세,2019,자궁경부암,남자,0,0,20대
20 ~ 24세,2019,자궁경부암,여자,616456,184179,20대
25 ~ 29세,2016,위암,남자,0,0,20대
25 ~ 29세,2016,위암,여자,0,0,20대
25 ~ 29세,2016,대장암,남자,0,0,20대
25 ~ 29세,2016,대장암,여자,0,0,20대
25 ~ 29세,2016,간암,남자,0,0,20대
25 ~ 29세,2016,간암,여자,0,0,20대
25 ~ 29세,2016,유방암,남자,0,0,20대
25 ~ 29세,2016,유방암,여자,0,0,20대
25 ~ 29세,2016,자궁경부암,남자,0,0,20대
25 ~ 29세,2016,자궁경부암,여자,509967,196687,20대
25 ~ 29세,2017,위암,남자,0,0,20대
25 ~ 29세,2017,위암,여자,0,0,20대
25 ~ 29세,2017,대장암,남자,0,0,20대
25 ~ 29세,2017,대장암,여자,0,0,20대
25 ~ 29세,2017,간암,남자,0,0,20대
25 ~ 29세,2017,간암,여자,0,0,20대
25 ~ 29세,2017,유방암,남자,0,0,20대
25 ~ 29세,2017,유방암,여자,0,0,20대
25 ~ 29세,2017,자궁경부암,남자,0,0,20대
25 ~ 29세,2017,자궁경부암,여자,570046,251231,20대
25 ~ 29세,2018,위암,남자,0,0,20대
25 ~ 29세,2018,위암,여자,0,0,20대
25 ~ 29세,2018,대장암,남자,0,0,20대
25 ~ 29세,2018,대장암,여자,0,0,20대
